Relatório do grupo de anúncios
1 de abril de 2026 - 30 de abril de 2026
Status do grupo de anúncios,Grupo de anúncios,Campanha,Status,Motivos do status,Código da moeda,CPC máx. padrão,CPV máx.,CPA desejado,Tipo de grupo de anúncios,Código da moeda,CPV médio do TrueView,Impr.,Interações,Taxa de interação,Custo médio,Custo,Inclusões de marca,Locais de interesse,Cliques,Taxa de conv.,Conversões,CPC méd.,Custo / conv.
Ativado,Cascavel,5 - Cascavel - German Tech Sistemas,Não qualificado,campanha pausada; desconhecido,BRL, --, --, --,Padrão,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Esse dia foi muito triste,Esse dia foi muito triste,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Como atrair dinheiro vídeo completo,Como atrair dinheiro vídeo completo,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,auto conhecimento,auto conhecimento,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,TL universo manda o que eu mereço,Universo manda o que pedimos,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Vídeo Personalizado – 2022-10-24 - Linguagem corporal,Vídeo Personalizado – 2022-10-24 - Linguagem corporal,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,20", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,1 - Toledo - Gruber Contabilidade,1 - Toledo - Gruber Contabilidade #2,Não qualificado,campanha pausada; alguns anúncios foram reprovados,BRL, --, --, --,Padrão,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Vídeo Personalizado – 2022-08-15,Sua casa pode estar doente,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Relacionamento débora,Relacionamento Débora,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,TL - Bournout,Burnout,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Advocacia - 1,3 - Gruber Advogados Associados,Não qualificado,campanha pausada; a maioria dos anúncios foi reprovada,BRL, --, --, --,Padrão,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Grupo de anúncios 1,Gruber [01] Captura de Leads #3,Não qualificado,campanha pausada; desconhecido,BRL, --, --, --,Padrão,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,TL Frequência vibracional,Frequência vibracional,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Vídeo Personalizado – 2022-10-07 - Mauro Nacional,Mauro - Nacional,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Talk Land Dicas Gravar Videos,Dicas para gravar vídeos na internet,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
Ativado,Vídeo Personalizado – 2022-11-18 - Constelação familiar,Vídeo Personalizado – 2022-11-18 - Constelação Familiar,Não qualificado,campanha finalizada; campanha pausada; desconhecido,BRL, --,"0,15", --,Vídeo In-feed,BRL,0,0,0, --,0,"0,00",[],[],0,"0,00%","0,00",0,"0,00"
