Relatório de campanha
1 de abril de 2026 - 30 de abril de 2026
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,Pontuação de otimização,Tipo de campanha,Cliques,Impr.,CTR,CPC méd.,Custo,Tipo de estratégia de lances,Taxa de conv.,Conversões,Custo / conv.
Pausada,PESQUISA - TANTRA MOTEL - 300/mês - 10/dia,"10,00", --,Diário,BRL,Pausado,campanha pausada, --,Pesquisa,498,2.967,"16,78%","0,61","304,24",Maximizar as conversões,"18,88%","94,00","3,24"
Total: Campanhas, --, --, --, --,BRL, --,, --, --,498,2.967,"16,78%","0,61","304,24", --,"18,88%","94,00","3,24"
Total: Conta,,,,,BRL,,,,,498,2.967,"16,78%","0,61","304,24",,"18,88%","94,00","3,24"
Total: Pesquisa,,,,,BRL,,,,Pesquisa,498,2.967,"16,78%","0,61","304,24",,"18,88%","94,00","3,24"
